Gene ID	Old ID
UCDDS831_g309.t1	g309.t1
UCDDS831_g310.t1	g310.t1
UCDDS831_g311.t1	g311.t1
UCDDS831_g312.t1	g312.t1
UCDDS831_g313.t1	g313.t1
UCDDS831_g314.t1	g314.t1
UCDDS831_g315.t1	g315.t1
UCDDS831_g316.t1	g316.t1
UCDDS831_g317.t1	g317.t1
UCDDS831_g318.t1	g318.t1
UCDDS831_g319.t1	g319.t1
UCDDS831_g320.t1	g320.t1
UCDDS831_g321.t1	g321.t1
UCDDS831_g322.t1	g322.t1
UCDDS831_g323.t1	g323.t1
UCDDS831_g324.t1	g324.t1
UCDDS831_g325.t1	g325.t1
UCDDS831_g326.t1	g326.t1
UCDDS831_g327.t1	g327.t1
UCDDS831_g328.t1	g328.t1
UCDDS831_g329.t1	g329.t1
UCDDS831_g330.t1	g330.t1
UCDDS831_g331.t1	g331.t1
UCDDS831_g332.t1	g332.t1
UCDDS831_g333.t1	g333.t1
UCDDS831_g334.t1	g334.t1
UCDDS831_g335.t1	g335.t1
UCDDS831_g336.t1	g336.t1
UCDDS831_g337.t1	g337.t1
UCDDS831_g338.t1	g338.t1
UCDDS831_g339.t1	g339.t1
UCDDS831_g340.t1	g340.t1
UCDDS831_g341.t1	g341.t1
UCDDS831_g342.t1	g342.t1
UCDDS831_g343.t1	g343.t1
UCDDS831_g344.t1	g344.t1
UCDDS831_g345.t1	g345.t1
UCDDS831_g346.t1	g346.t1
UCDDS831_g347.t1	g347.t1
UCDDS831_g348.t1	g348.t1
UCDDS831_g349.t1	g349.t1
UCDDS831_g350.t1	g350.t1
UCDDS831_g351.t1	g351.t1
UCDDS831_g352.t1	g352.t1
UCDDS831_g353.t1	g353.t1
UCDDS831_g354.t1	g354.t1
UCDDS831_g355.t1	g355.t1
UCDDS831_g356.t1	g356.t1
UCDDS831_g357.t1	g357.t1
UCDDS831_g358.t1	g358.t1
UCDDS831_g359.t1	g359.t1
UCDDS831_g360.t1	g360.t1
UCDDS831_g361.t1	g361.t1
UCDDS831_g362.t1	g362.t1
UCDDS831_g363.t1	g363.t1
UCDDS831_g364.t1	g364.t1
UCDDS831_g365.t1	g365.t1
UCDDS831_g366.t1	g366.t1
UCDDS831_g367.t1	g367.t1
UCDDS831_g368.t1	g368.t1
UCDDS831_g369.t1	g369.t1
UCDDS831_g370.t1	g370.t1
UCDDS831_g371.t1	g371.t1
UCDDS831_g372.t1	g372.t1
UCDDS831_g373.t1	g373.t1
UCDDS831_g374.t1	g374.t1
UCDDS831_g375.t1	g375.t1
UCDDS831_g376.t1	g376.t1
UCDDS831_g377.t1	g377.t1
UCDDS831_g378.t1	g378.t1
UCDDS831_g379.t1	g379.t1
UCDDS831_g380.t1	g380.t1
UCDDS831_g381.t1	g381.t1
UCDDS831_g382.t1	g382.t1
UCDDS831_g383.t1	g383.t1
UCDDS831_g384.t1	g384.t1
UCDDS831_g385.t1	g385.t1
UCDDS831_g386.t1	g386.t1
UCDDS831_g387.t1	g387.t1
UCDDS831_g388.t1	g388.t1
UCDDS831_g389.t1	g389.t1
UCDDS831_g390.t1	g390.t1
UCDDS831_g391.t1	g391.t1
UCDDS831_g392.t1	g392.t1
UCDDS831_g393.t1	g393.t1
UCDDS831_g394.t1	g394.t1
UCDDS831_g395.t1	g395.t1
UCDDS831_g396.t1	g396.t1
UCDDS831_g397.t1	g397.t1
UCDDS831_g398.t1	g398.t1
UCDDS831_g399.t1	g399.t1
UCDDS831_g400.t1	g400.t1
UCDDS831_g401.t1	g401.t1
UCDDS831_g402.t1	g402.t1
UCDDS831_g403.t1	g403.t1
UCDDS831_g404.t1	g404.t1
UCDDS831_g405.t1	g405.t1
UCDDS831_g406.t1	g406.t1
UCDDS831_g407.t1	g407.t1
UCDDS831_g408.t1	g408.t1
UCDDS831_g409.t1	g409.t1
UCDDS831_g410.t1	g410.t1
UCDDS831_g411.t1	g411.t1
UCDDS831_g412.t1	g412.t1
UCDDS831_g413.t1	g413.t1
UCDDS831_g414.t1	g414.t1
UCDDS831_g415.t1	g415.t1
UCDDS831_g416.t1	g416.t1
UCDDS831_g417.t1	g417.t1
UCDDS831_g418.t1	g418.t1
UCDDS831_g419.t1	g419.t1
UCDDS831_g420.t1	g420.t1
UCDDS831_g421.t1	g421.t1
UCDDS831_g422.t1	g422.t1
UCDDS831_g423.t1	g423.t1
UCDDS831_g424.t1	g424.t1
UCDDS831_g425.t1	g425.t1
UCDDS831_g426.t1	g426.t1
UCDDS831_g427.t1	g427.t1
UCDDS831_g428.t1	g428.t1
UCDDS831_g429.t1	g429.t1
UCDDS831_g430.t1	g430.t1
UCDDS831_g431.t1	g431.t1
UCDDS831_g432.t1	g432.t1
UCDDS831_g433.t1	g433.t1
UCDDS831_g434.t1	g434.t1
UCDDS831_g435.t1	g435.t1
UCDDS831_g436.t1	g436.t1
UCDDS831_g437.t1	g437.t1
UCDDS831_g438.t1	g438.t1
UCDDS831_g439.t1	g439.t1
UCDDS831_g440.t1	g440.t1
UCDDS831_g441.t1	g441.t1
UCDDS831_g442.t1	g442.t1
UCDDS831_g443.t1	g443.t1
UCDDS831_g444.t1	g444.t1
UCDDS831_g445.t1	g445.t1
UCDDS831_g446.t1	g446.t1
UCDDS831_g447.t1	g447.t1
UCDDS831_g448.t1	g448.t1
UCDDS831_g449.t1	g449.t1
UCDDS831_g450.t1	g450.t1
UCDDS831_g451.t1	g451.t1
UCDDS831_g452.t1	g452.t1
UCDDS831_g453.t1	g453.t1
UCDDS831_g454.t1	g454.t1
UCDDS831_g455.t1	g455.t1
UCDDS831_g456.t1	g456.t1
UCDDS831_g457.t1	g457.t1
UCDDS831_g458.t1	g458.t1
UCDDS831_g459.t1	g459.t1
UCDDS831_g460.t1	g460.t1
UCDDS831_g461.t1	g461.t1
UCDDS831_g462.t1	g462.t1
UCDDS831_g463.t1	g463.t1
UCDDS831_g464.t1	g464.t1
UCDDS831_g465.t1	g465.t1
UCDDS831_g466.t1	g466.t1
UCDDS831_g467.t1	g467.t1
UCDDS831_g468.t1	g468.t1
UCDDS831_g469.t1	g469.t1
UCDDS831_g470.t1	g470.t1
UCDDS831_g471.t1	g471.t1
UCDDS831_g472.t1	g472.t1
UCDDS831_g473.t1	g473.t1
UCDDS831_g474.t1	g474.t1
UCDDS831_g475.t1	g475.t1
UCDDS831_g476.t1	g476.t1
UCDDS831_g477.t1	g477.t1
UCDDS831_g478.t1	g478.t1
UCDDS831_g479.t1	g479.t1
UCDDS831_g480.t1	g480.t1
UCDDS831_g481.t1	g481.t1
UCDDS831_g482.t1	g482.t1
UCDDS831_g483.t1	g483.t1
UCDDS831_g484.t1	g484.t1
UCDDS831_g485.t1	g485.t1
UCDDS831_g486.t1	g486.t1
UCDDS831_g487.t1	g487.t1
UCDDS831_g488.t1	g488.t1
UCDDS831_g489.t1	g489.t1
UCDDS831_g490.t1	g490.t1
UCDDS831_g491.t1	g491.t1
UCDDS831_g492.t1	g492.t1
UCDDS831_g493.t1	g493.t1
UCDDS831_g494.t1	g494.t1
UCDDS831_g495.t1	g495.t1
UCDDS831_g496.t1	g496.t1
UCDDS831_g497.t1	g497.t1
UCDDS831_g498.t1	g498.t1
UCDDS831_g499.t1	g499.t1
UCDDS831_g500.t1	g500.t1
UCDDS831_g501.t1	g501.t1
UCDDS831_g502.t1	g502.t1
UCDDS831_g503.t1	g503.t1
UCDDS831_g504.t1	g504.t1
UCDDS831_g505.t1	g505.t1
UCDDS831_g506.t1	g506.t1
UCDDS831_g507.t1	g507.t1
UCDDS831_g508.t1	g508.t1
UCDDS831_g509.t1	g509.t1
UCDDS831_g510.t1	g510.t1
UCDDS831_g511.t1	g511.t1
UCDDS831_g512.t1	g512.t1
UCDDS831_g513.t1	g513.t1
UCDDS831_g514.t1	g514.t1
UCDDS831_g515.t1	g515.t1
UCDDS831_g516.t1	g516.t1
UCDDS831_g517.t1	g517.t1
UCDDS831_g518.t1	g518.t1
UCDDS831_g519.t1	g519.t1
UCDDS831_g520.t1	g520.t1
UCDDS831_g521.t1	g521.t1
UCDDS831_g522.t1	g522.t1
UCDDS831_g523.t1	g523.t1
UCDDS831_g524.t1	g524.t1
UCDDS831_g525.t1	g525.t1
UCDDS831_g526.t1	g526.t1
UCDDS831_g527.t1	g527.t1
UCDDS831_g528.t1	g528.t1
UCDDS831_g529.t1	g529.t1
UCDDS831_g530.t1	g530.t1
UCDDS831_g531.t1	g531.t1
UCDDS831_g532.t1	g532.t1
UCDDS831_g533.t1	g533.t1
UCDDS831_g534.t1	g534.t1
UCDDS831_g535.t1	g535.t1
UCDDS831_g536.t1	g536.t1
UCDDS831_g537.t1	g537.t1
UCDDS831_g538.t1	g538.t1
UCDDS831_g539.t1	g539.t1
UCDDS831_g540.t1	g540.t1
UCDDS831_g541.t1	g541.t1
UCDDS831_g542.t1	g542.t1
UCDDS831_g543.t1	g543.t1
UCDDS831_g544.t1	g544.t1
UCDDS831_g545.t1	g545.t1
UCDDS831_g546.t1	g546.t1
UCDDS831_g547.t1	g547.t1
UCDDS831_g548.t1	g548.t1
UCDDS831_g549.t1	g549.t1
UCDDS831_g550.t1	g550.t1
UCDDS831_g551.t1	g551.t1
UCDDS831_g552.t1	g552.t1
UCDDS831_g553.t1	g553.t1
UCDDS831_g554.t1	g554.t1
UCDDS831_g555.t1	g555.t1
UCDDS831_g556.t1	g556.t1
UCDDS831_g557.t1	g557.t1
UCDDS831_g558.t1	g558.t1
UCDDS831_g559.t1	g559.t1
UCDDS831_g560.t1	g560.t1
UCDDS831_g561.t1	g561.t1
UCDDS831_g562.t1	g562.t1
UCDDS831_g563.t1	g563.t1
UCDDS831_g564.t1	g564.t1
UCDDS831_g565.t1	g565.t1
UCDDS831_g566.t1	g566.t1
UCDDS831_g567.t1	g567.t1
UCDDS831_g568.t1	g568.t1
UCDDS831_g569.t1	g569.t1
UCDDS831_g570.t1	g570.t1
UCDDS831_g571.t1	g571.t1
UCDDS831_g572.t1	g572.t1
UCDDS831_g573.t1	g573.t1
UCDDS831_g574.t1	g574.t1
UCDDS831_g575.t1	g575.t1
UCDDS831_g576.t1	g576.t1
UCDDS831_g577.t1	g577.t1
UCDDS831_g578.t1	g578.t1
UCDDS831_g579.t1	g579.t1
UCDDS831_g580.t1	g580.t1
UCDDS831_g581.t1	g581.t1
UCDDS831_g582.t1	g582.t1
UCDDS831_g583.t1	g583.t1
UCDDS831_g584.t1	g584.t1
UCDDS831_g585.t1	g585.t1
UCDDS831_g586.t1	g586.t1
UCDDS831_g587.t1	g587.t1
UCDDS831_g588.t1	g588.t1
UCDDS831_g589.t1	g589.t1
UCDDS831_g590.t1	g590.t1
UCDDS831_g591.t1	g591.t1
UCDDS831_g592.t1	g592.t1
UCDDS831_g593.t1	g593.t1
UCDDS831_g594.t1	g594.t1
UCDDS831_g595.t1	g595.t1
UCDDS831_g596.t1	g596.t1
UCDDS831_g597.t1	g597.t1
UCDDS831_g598.t1	g598.t1
UCDDS831_g599.t1	g599.t1
UCDDS831_g600.t1	g600.t1
UCDDS831_g601.t1	g601.t1
UCDDS831_g602.t1	g602.t1
UCDDS831_g603.t1	g603.t1
UCDDS831_g604.t1	g604.t1
UCDDS831_g605.t1	g605.t1
UCDDS831_g606.t1	g606.t1
UCDDS831_g607.t1	g607.t1
UCDDS831_g608.t1	g608.t1
UCDDS831_g609.t1	g609.t1
UCDDS831_g610.t1	g610.t1
UCDDS831_g611.t1	g611.t1
UCDDS831_g612.t1	g612.t1
UCDDS831_g613.t1	g613.t1
UCDDS831_g614.t1	g614.t1
UCDDS831_g615.t1	g615.t1
UCDDS831_g616.t1	g616.t1
UCDDS831_g617.t1	g617.t1
UCDDS831_g618.t1	g618.t1
UCDDS831_g619.t1	g619.t1
UCDDS831_g620.t1	g620.t1
UCDDS831_g621.t1	g621.t1
UCDDS831_g622.t1	g622.t1
UCDDS831_g623.t1	g623.t1
UCDDS831_g624.t1	g624.t1
UCDDS831_g625.t1	g625.t1
UCDDS831_g626.t1	g626.t1
UCDDS831_g627.t1	g627.t1
UCDDS831_g628.t1	g628.t1
UCDDS831_g629.t1	g629.t1
UCDDS831_g630.t1	g630.t1
UCDDS831_g631.t1	g631.t1
UCDDS831_g632.t1	g632.t1
UCDDS831_g633.t1	g633.t1
UCDDS831_g634.t1	g634.t1
UCDDS831_g635.t1	g635.t1
UCDDS831_g636.t1	g636.t1
UCDDS831_g637.t1	g637.t1
UCDDS831_g638.t1	g638.t1
UCDDS831_g639.t1	g639.t1
UCDDS831_g640.t1	g640.t1
UCDDS831_g641.t1	g641.t1
UCDDS831_g642.t1	g642.t1
UCDDS831_g643.t1	g643.t1
UCDDS831_g644.t1	g644.t1
UCDDS831_g645.t1	g645.t1
UCDDS831_g646.t1	g646.t1
UCDDS831_g647.t1	g647.t1
UCDDS831_g648.t1	g648.t1
UCDDS831_g649.t1	g649.t1
UCDDS831_g650.t1	g650.t1
